নাম,Unit,Category
কেপ,pcs,Cleaning & Maintainance
পলিব্যাগ,pcs,Cleaning & Maintainance
বাটি,pcs,Cleaning & Maintainance
কাপড়ের ব্যাগ ,pcs,Cleaning & Maintainance
সটীল মাজুন,pcs,Cleaning & Maintainance
হুইল,kg,Cleaning & Maintainance
কেওরাজল,pcs,Food Ingredients
হলুদ,kg,Food Ingredients
মরিচ,kg,Food Ingredients
চিনি,kg,Food Ingredients
কাঠবাদাম,kg,Food Ingredients
কাজুবাদাম,kg,Food Ingredients
পেস্তাবাদাম,kg,Food Ingredients
গুড়,kg,Food Ingredients
তালমিচরি,kg,Food Ingredients
সরিসা,kg,Food Ingredients
জএিক,kg,Food Ingredients
বেসন,kg,Food Ingredients
মেতি,kg,Food Ingredients
টমেটো সস,l,Food Ingredients
কাসমেরি,kg,Food Ingredients
মুগ ডাল,kg,Food Ingredients
মসরিডাল,kg,Food Ingredients
আলু বোকারা,kg,Food Ingredients
ঘি,kg,Food Ingredients
বাসমতি,kg,Food Ingredients
ডালডা,kg,Food Ingredients
ময়দা,kg,Food Ingredients
পেকেট চাল,kg,Food Ingredients
মিনিকেট,kg,Food Ingredients
সরিসার তেল,l,Food Ingredients
ডেনিস,kg,Food Ingredients
দুধ,kg,Food Ingredients
বাদাম,kg,Food Ingredients
এরারট,kg,Food Ingredients
কালোএলাচ,kg,Food Ingredients
বিটলবন,kg,Food Ingredients
টেস্টিং সলট,kg,Food Ingredients
চাপাতা,kg,Food Ingredients
তেল,l,Food Ingredients
চিকন লবন,kg,Food Ingredients
বুটের ডাল,kg,Food Ingredients
জিরা,kg,Food Ingredients
শাহী জিরা,kg,Food Ingredients
মিষ্টি জিরা,kg,Food Ingredients
ধনিয়া ,kg,Food Ingredients
তেতুল,kg,Food Ingredients
বিরানি সেনট,l,Food Ingredients
কাস্টার্ড পাউডার ,kg,Food Ingredients
বেকিন পাউডার,kg,Food Ingredients
দারচিনি,kg,Food Ingredients
কিসমিস,kg,Food Ingredients
চিনাবাদাম,kg,Food Ingredients
পোস্তার দানা,kg,Food Ingredients
রসুন আচার,kg,Food Ingredients
সাদাতিল,kg,Food Ingredients
কালোমরিচ,kg,Food Ingredients
সাদামরিচ,kg,Food Ingredients
নারিকেল,kg,Food Ingredients
ওয়েস্টার সস,l,Food Ingredients
সয়া সস,l,Food Ingredients
ভিনেগার,l,Food Ingredients
জয়ফল,kg,Food Ingredients
মোরববা,kg,Food Ingredients
বিস্কুট ,kg,Food Ingredients
খাসির মাংস,kg,Food Ingredients
গরুর মাংস,kg,Food Ingredients
দারুচিনি,kg,Food Ingredients
এলাচ,kg,Food Ingredients
সয়াবিন তৈল,l,Food Ingredients
পিয়াজ,kg,Food Ingredients
আদা,kg,Food Ingredients
রসুন,kg,Food Ingredients
গুঁড়া হলুদ,kg,Food Ingredients
গুড়া মরিচ,kg,Food Ingredients
তেজপাতা,kg,Food Ingredients
গোলাপজল,kg,Food Ingredients
মুরগি,kg,Food Ingredients
