No,Name,Quantity,Unit,KG/Price
181,কেপ,,pcs,
182,পলিব্যাগ ,,pcs,
183,বাটি ,,pcs,
184,কাপড়ের ব্যাগ  ,,pcs,
185,সটীল মাজুন ,,pcs,
1,মিনিকেট চাল,1,kg,66
2,চিনিগুড়া চাল,1,kg,108
3,বাসমতি চাল,1,kg,230
5,সরিষার তেল,1,l,220
6,ঘি,1,kg,1200
7,ডালডা,1,kg,170
8,চিনি,1,kg,76
9,দুধ,1,kg,620
10,ডিম,1,kg,9
11,বেসন,1,kg,85
12,মুগডাল,1,kg,120
13,মসরিডাল,1,kg,110
14,বুটের ডাল,1,kg,75
15,খেসারী ডাল,1,kg,70
16,এংকর ডাল,1,kg,52
17,মটর ডাল,1,kg,100
18,মাসকালাই ডাল,1,kg,180
19,আস্ত বুটের ডাল,1,kg,75
20,নারিকেল,1,kg,100
21,সরিষার দানা ,1,kg,120
22,এলাচ,1,kg,2000
23,কালো এলাচ,1,kg,1050
24,দারুচিনি,1,kg,400
25,লবঈ,1,kg,1200
26,কালো গোল মরিচ,1,kg,700
27,সাদা গোল মরিচ,1,kg,900
28,কাজুবাদাম,1,kg,800
29,কাঠবাদাম,1,kg,700
30,পেস্তাবাদাম,1,kg,2000
31,চিনাবাদাম,1,kg,150
32,কিসমিস,1,kg,400
33,পোস্ত দানা,1,kg,2600
34,আলুবোকারা,1,kg,400
35,জিরা,1,kg,400
36,শাহী জিরা,1,kg,800
37,মিষ্টি জিরা,1,kg,200
38,কালো জিরা,1,kg,400
39,রসুন আচার,0.3,kg,300
40,লবন মোঠা,1,kg,20
41,আমের আচার,0.3,kg,300
42,টেস্টিং সল্ট,1,kg,130
43,লবন চিকন,1,kg,30
44,তেতুল,1,kg,200
45,জেলি,1,kg,220
46,থাই সোডা,1,kg,120
47,জাফরান,0.1,kg,180000
48,জএিক,1,kg,2600
49,জয়ফল,1,kg,1300
50,জদদার রং,0.1,kg,200
51,স্টার মসলা,1,kg,1400
52,মেথি,1,kg,150
53,তেজপাতা,1,kg,120
54,গুড়া মরিচ,1,kg,450
55,কাশ্মিরি মরিচ,1,kg,120
56,শুকনা মরিচ,1,kg,450
57,কেওরাজল,1,kg,12
58,গোলাপজল,1,kg,
59,টমেটো সস,1,kg,120
60,গুড়াহলুদ,1,kg,350
61,ভিনেগার,0.45,kg,60
62,কাস্টার্ড পাউডার ,1,kg,220
63,বেকিন পাউডার,1,kg,250
64,কনফলা‍‍ওয়ার,1,kg,120
65,মোরব্বা,1,kg,200
66,হরলিক্র,1,kg,650
67,কলার সেন্ট,1,kg,1400
68,বিরানি সেন্ট,1,kg,1500
69,ঘি সেন্ট,1,kg,1980
70,চেরি ফল,1,kg,400
71,বিস্কুটের গুড়া ,1,kg,150
72,পিয়াজ,1,kg,30
73,সেভেন আপ,1,L,60
74,মিরিনডা,1,L,60
75,আদা,1,kg,60
76,রসুন,1,kg,30
77,আলু,1,kg,20
78,পেঁপে,1,kg,30
79,গাজর,1,kg,25
,,,,
81,শশা,1,kg,30
82,লেবু,1,kg,5
83,মাওয়া,1,kg,200
84,হলুদ,1,kg,320
85,গুড়,1,kg,95
86,তালমিচরি,1,kg,98
87,সরিষা,1,kg,100
88,কাসমেরি,1,kg,98
89,ময়দা,1,kg,50
90,পেকেট চাল,1,kg,92
92,ডেনিস,1,kg,68
93,এরারট,1,kg,65
94,কালোএলাচ,1,kg,1180
95,বিটলবন,1,kg,70
96,টেস্টিং সল্ট,1,kg,197
97,চাপাতা,1,kg,350
98,হুইল,1,kg,
99,চিকন লবন,1,kg,29
100,ধনিয়া ,1,kg,120
101,পোস্তার দানা,1,kg,1850
102,রসুন আচার,1,kg,185
